quote_id,product,product_model,kw,qty,current_gmr_pct,recommended_gmr_pct,delta_gmr_pct_point,unit_price,recommended_unit_price,delta_unit_price,subtotal_price,recommended_subtotal_price,delta_subtotal_price,estimated_cost,estimated_gross_profit,recommended_estimated_gross_profit,current_predicted_win_probability_pct,recommended_predicted_win_probability_pct,delta_predicted_win_probability_pct_point,current_expected_profit,recommended_expected_profit,delta_expected_profit,avg_competitor_price,price_gap_avg_competitor_pct,recommended_price_gap_avg_competitor_pct,convert_to_order,success,row_id,gross_margin_rate,energy_grant_amount,current_predicted_win_probability,recommended_gmr,recommended_predicted_win_probability,higher_than_avg_competitor,is_lower_than_competitor,recommendation_objective,min_win_prob_constraint,used_fallback_because_no_candidate_met_min_win_prob,delta_gmr,delta_predicted_win_probability
Q-02132,I1,I1,22.0,2,66.27,60.0,-6.27,244500.0,206174.625,-38325.375,489000.0,412349.25,-76650.75,164939.7,324060.3,247409.55,96.5,99.78,3.28,312731.6184686883,246870.34752641793,-65861.27094227035,240000.0,1.875,-14.09390625,0,1,23,0.6627,132000,0.9650414397218304,0.6,0.9978206076783129,0,1,expected_profit,0.0,False,-0.06269999999999998,0.0327791679564825
Q-02428,O,Other,75.0,1,41.35,50.0,8.65,659000.0,773007.0,114007.0,659000.0,773007.0,114007.0,386503.5,272496.5,386503.5,92.09,88.62,-3.47,250946.2619274331,342519.7687840256,91573.50685659252,,,,0,1,24,0.4135,322500,0.9209155417681809,0.5,0.8862009497560194,0,0,expected_profit,0.0,False,0.08650000000000002,-0.03471459201216154
Q-02428,S,S,110.0,1,41.35,55.0,13.65,1141900.0,1488276.3333333337,346376.3333333337,1141900.0,1488276.3333333337,346376.3333333337,669724.3500000001,472175.64999999997,818551.9833333336,92.36,90.76,-1.6,436101.65746973164,742956.8589560913,306855.2014863597,1880000.0,-39.26063829787234,-20.83636524822693,0,1,25,0.4135,528000,0.9236004810280489,0.55,0.9076477414795314,0,1,expected_profit,0.0,False,0.13650000000000007,-0.015952739548517503
Q-02534,N1,N1,75.0,2,45.35,50.0,4.65,793000.0,866749.0,73749.0,1586000.0,1733498.0,147498.0,866749.0,719251.0,866749.0,95.08,87.07,-8.01,683871.4389455413,754704.3022811785,70832.86333563726,830000.0,-4.457831325301205,4.427590361445783,0,1,26,0.4535,375000,0.9508105500660288,0.5,0.8707299371342552,1,0,expected_profit,0.0,False,0.046499999999999986,-0.0800806129317736
Q-02733,S,S,110.0,3,21.64,45.0,23.36,1222400.0,1741586.6181818177,519186.6181818177,3667200.0,5224759.854545454,1557559.8545454536,2873617.92,793582.0800000001,2351141.934545454,28.4,94.89,66.49,225388.12887181732,2230920.3874095916,2005532.2585377742,1880000.0,-34.97872340425532,-7.362413926499059,1,0,27,0.2164,528000,0.2840136320515419,0.45,0.9488667419990937,0,1,expected_profit,0.0,False,0.2336,0.6648531099475519
Q-02784,T,Other,110.0,1,3.93,45.0,41.07,992000.0,1732753.4545454544,740753.4545454544,992000.0,1732753.4545454544,740753.4545454544,953014.4,38985.6,779739.0545454544,99.27,93.8,-5.47,38701.72389254708,731433.2884889311,692731.5645963841,1880000.0,-47.23404255319149,-7.832263056092853,0,1,28,0.0393,528000,0.9927184368727706,0.45,0.938048805206143,0,1,expected_profit,0.0,False,0.4107,-0.05466963166662764
Q-02916,K,K,37.0,1,28.26,55.0,26.74,154000.0,245510.22222222225,91510.22222222225,154000.0,245510.22222222225,91510.22222222225,110479.6,43520.4,135030.62222222224,99.75,96.35,-3.4,43411.80923892292,130103.75631909314,86691.94708017021,,,,0,1,29,0.2826,190920,0.997504830813203,0.55,0.9635129734126465,0,0,expected_profit,0.0,False,0.2674,-0.033991857400556436
Q-02941,I1,I1,22.0,1,33.65,50.0,16.35,236333.0,313613.89100000006,77280.89100000006,236333.0,313613.89100000006,77280.89100000006,156806.94550000003,79526.05449999998,156806.94550000003,98.81,86.58,-12.23,78578.70359962752,135769.1375720723,57190.43397244478,240000.0,-1.5279166666666666,30.67245458333336,0,1,30,0.3364999999999999,132000,0.9880875405383973,0.5,0.8658362494030744,1,0,expected_profit,0.0,False,0.1635000000000001,-0.12225129113532296
Q-03099,W,W,11.0,1,54.84,45.0,-9.84,250000.0,205272.72727272726,-44727.272727272735,250000.0,205272.72727272726,-44727.272727272735,112900.0,137100.0,92372.72727272726,91.3,83.26,-8.03,125165.65090463797,76914.12629688453,-48251.52460775344,,,,0,1,31,0.5484,66000,0.9129515018573156,0.45,0.832649728634711,0,0,expected_profit,0.0,False,-0.09839999999999999,-0.08030177322260457
Q-03110,N1,N1,75.0,1,39.22,50.0,10.78,718000.0,872800.8,154800.80000000005,718000.0,872800.8,154800.80000000005,436400.4,281599.6,436400.4,74.6,94.33,19.72,210085.3471263445,411642.2194038713,201556.87227752677,830000.0,-13.493975903614459,5.156722891566271,0,1,32,0.3922,375000,0.7460427753673816,0.5,0.943267282531985,1,0,expected_profit,0.0,False,0.1078,0.19722450716460338
Q-03273,I1,I1,22.0,2,51.56,60.0,8.44,273762.0,331525.78199999995,57763.78199999995,547524.0,663051.5639999999,115527.5639999999,265220.62559999997,282303.37440000003,397830.9383999999,81.52,77.51,-4.02,230139.1028544594,308344.5197041973,78205.4168497379,240000.0,14.067499999999999,38.13574249999998,0,1,33,0.5156000000000001,132000,0.8152191001740268,0.6,0.7750642042680242,1,0,expected_profit,0.0,False,0.08439999999999992,-0.04015489590600252
Q-03387,H1,H1,37.0,2,61.93,60.0,-1.93,530000.0,504427.5,-25572.5,1060000.0,1008855.0,-51145.0,403542.0,656458.0,605313.0,95.88,95.23,-0.65,629407.8032325918,576438.8087036603,-52968.994528931566,360000.0,47.22222222222222,40.11875,0,1,34,0.6193,222000,0.9587937129756844,0.6,0.9522987424748193,1,0,expected_profit,0.0,False,-0.019299999999999984,-0.006494970500865116
Q-03409,N1,N1,75.0,1,64.87,50.0,-14.87,1283500.0,901787.0999999999,-381712.90000000014,1283500.0,901787.0999999999,-381712.90000000014,450893.54999999993,832606.4500000001,450893.54999999993,0.02,78.81,78.78,196.34422239415917,355340.4036169068,355144.0593945126,830000.0,54.638554216867476,8.649048192771067,1,0,35,0.6487,375000,0.00023581876214646085,0.5,0.7880804762385863,1,0,expected_profit,0.0,False,-0.14870000000000005,0.7878446574764398
Q-03418,O1,O1,75.0,2,20.54,45.0,24.46,574900.0,830573.709090909,255673.709090909,1149800.0,1661147.418181818,511347.418181818,913631.08,236168.92,747516.3381818181,98.66,96.04,-2.62,232993.21895708048,717878.7814664678,484885.56250938727,830000.0,-30.734939759036145,0.06912157721795051,0,1,36,0.2054,375000,0.9865532643206416,0.45,0.9603519612863075,1,0,expected_profit,0.0,False,0.2446,-0.0262013030343341
Q-03437,A1,A1,15.0,1,37.0,40.0,3.0,275000.0,288750.0,13750.0,275000.0,288750.0,13750.0,173250.0,101750.0,115500.0,97.18,95.18,-2.0,98877.64379725844,109932.49815131068,11054.854354052237,170000.0,61.76470588235294,69.85294117647058,0,1,37,0.37,90000,0.9717704550099109,0.4,0.9517965207905686,1,0,expected_profit,0.0,False,0.030000000000000027,-0.019973934219342238
Q-03440,I1,I1,22.0,1,37.0,50.0,13.0,260000.0,327600.0,67600.0,260000.0,327600.0,67600.0,163800.0,96200.0,163800.0,72.61,94.31,21.7,69850.97625919103,154486.47344744488,84635.49718825385,240000.0,8.333333333333332,36.5,0,1,38,0.37,132000,0.726101624315915,0.5,0.9431408635375146,1,0,expected_profit,0.0,False,0.13,0.21703923922159962
Q-03578,N1,N1,75.0,2,51.73,60.0,8.27,607600.0,733221.3,125621.30000000005,1215200.0,1466442.6,251242.6000000001,586577.04,628622.96,879865.56,99.77,85.92,-13.85,627164.7558165555,756001.699145335,128836.94332877954,830000.0,-26.795180722891565,-11.660084337349392,0,1,39,0.5173,375000,0.9976803198797503,0.6,0.8592241059478848,0,1,expected_profit,0.0,False,0.0827,-0.13845621393186547
Q-03581,H1,H1,37.0,1,69.17,60.0,-9.17,359000.0,276699.25,-82300.75,359000.0,276699.25,-82300.75,110679.70000000001,248320.3,166019.55,87.9,99.99,12.1,218261.82475627257,166003.41779401607,-52258.4069622565,360000.0,-0.2777777777777778,-23.139097222222222,0,1,40,0.6917,222000,0.8789528071457412,0.6,0.9999028294801189,0,1,expected_profit,0.0,False,-0.0917,0.12095002233437768
Q-03626,H1,H1,37.0,2,65.24,60.0,-5.24,352000.0,305888.0,-46112.0,704000.0,611776.0,-92224.0,244710.40000000002,459289.6,367065.6,86.42,99.81,13.39,396927.7641111263,366379.0717726541,-30548.692338472232,360000.0,-2.2222222222222223,-15.031111111111112,0,1,41,0.6524,222000,0.8642211016995079,0.6,0.9981296851915682,0,1,expected_profit,0.0,False,-0.0524,0.13390858349206025
Q-03631,H1,H1,37.0,1,39.54,55.0,15.46,360000.0,483680.0,123680.0,360000.0,483680.00000000006,123680.00000000006,217656.0,142344.0,266024.00000000006,94.1,93.7,-0.4,133944.58537415395,249255.27838694383,115310.69301278988,360000.0,0.0,34.355555555555554,0,1,42,0.3954,222000,0.940992141390954,0.55,0.9369653805180878,1,0,expected_profit,0.0,False,0.15460000000000007,-0.004026760872866242
Q-03631,N1,N1,75.0,1,39.54,55.0,15.46,649000.0,871967.5555555557,222967.55555555574,649000.0,871967.5555555557,222967.55555555574,392385.4,256614.59999999998,479582.1555555557,71.58,98.83,27.24,183696.7574657289,473968.52807497967,290271.77060925076,830000.0,-21.80722891566265,5.056331994645269,0,1,43,0.3954,375000,0.7158468671140649,0.55,0.9882947532230987,1,0,expected_profit,0.0,False,0.15460000000000007,0.2724478861090338
Q-03731,H1,H1,37.0,1,45.31,55.0,9.69,360000.0,437520.0000000001,77520.00000000012,360000.0,437520.00000000006,77520.00000000006,196884.0,163116.0,240636.00000000006,81.41,95.81,14.4,132790.3153934429,230555.66507632413,97765.34968288123,360000.0,0.0,21.533333333333367,0,1,44,0.4531,222000,0.8140851626660959,0.55,0.9581096140075637,1,0,expected_profit,0.0,False,0.09690000000000004,0.1440244513414678
Q-04030,N1,N1,75.0,1,40.04,60.0,19.96,585700.0,877964.2999999999,292264.29999999993,585700.0,877964.2999999999,292264.29999999993,351185.72,234514.28,526778.58,99.99,98.83,-1.16,234494.11998418038,520612.30980361183,286118.18981943146,830000.0,-29.433734939759038,5.778831325301197,0,1,45,0.4004,375000,0.9999140350181677,0.6,0.9882943794024652,1,0,expected_profit,0.0,False,0.1996,-0.01161965561570244
Q-04053,A1,A1,15.0,1,33.26,30.0,-3.26,301000.0,286982.0,-14018.0,301000.0,286982.0,-14018.0,200887.4,100112.6,86094.59999999999,91.19,94.98,3.79,91290.54000224567,81773.96539180013,-9516.574610445547,170000.0,77.05882352941177,68.81294117647059,0,1,46,0.3326,90000,0.9118786246910546,0.3,0.9498152659028573,1,0,expected_profit,0.0,False,-0.03260000000000002,0.037936641211802624
Q-04090,W,W,11.0,1,9.4,40.0,30.6,160000.0,241600.0,81600.0,160000.0,241600.0,81600.0,144960.0,15040.0,96640.0,96.66,86.33,-10.34,14538.320065364092,83424.91076567452,68886.59070031042,,,,0,1,47,0.094,66000,0.9666436213672934,0.4,0.8632544574262677,0,0,expected_profit,0.0,False,0.30600000000000005,-0.10338916394102571
Q-04111,H1,H1,37.0,2,61.93,60.0,-1.93,530000.0,504427.5,-25572.5,1060000.0,1008855.0,-51145.0,403542.0,656458.0,605313.0,95.88,95.23,-0.65,629407.8032325918,576438.8087036603,-52968.994528931566,360000.0,47.22222222222222,40.11875,0,1,48,0.6193,222000,0.9587937129756844,0.6,0.9522987424748193,1,0,expected_profit,0.0,False,-0.019299999999999984,-0.006494970500865116
Q-04158,N1,N1,75.0,2,32.71,45.0,12.29,675780.0,826786.1127272726,151006.11272727256,1351560.0,1653572.225454545,302012.2254545451,909464.7239999999,442095.276,744107.5014545453,92.31,94.56,2.25,408107.10782929545,703608.4691649392,295501.3613356438,830000.0,-18.580722891566264,-0.38721533406354736,0,1,49,0.3271,375000,0.9231202638530239,0.45,0.9455736809393259,0,0,expected_profit,0.0,False,0.12290000000000001,0.022453417086301997
Q-04281,O1,O1,75.0,1,36.37,50.0,13.63,720104.0,916404.3504000001,196300.3504000001,720104.0,916404.3504000001,196300.3504000001,458202.17520000006,261901.82479999994,458202.17520000006,88.83,86.29,-2.55,232658.38139869864,395375.55053815467,162717.16913945603,830000.0,-13.240481927710842,10.410162698795194,0,1,50,0.3636999999999999,375000,0.8883419639262425,0.5,0.862884490597579,1,0,expected_profit,0.0,False,0.1363000000000001,-0.02545747332866355
Q-04365,N1,N1,75.0,2,41.64,50.0,8.36,708524.0,826989.2128,118465.21279999998,1417048.0,1653978.4256,236930.42559999996,826989.2128,590058.7872,826989.2128,94.99,89.2,-5.78,560474.3367225104,737714.9313268152,177240.59460430476,830000.0,-14.63566265060241,-0.362745445783135,0,1,51,0.4164,375000,0.9498618593278197,0.5,0.8920490375310676,0,0,expected_profit,0.0,False,0.08360000000000001,-0.05781282179675218
Q-04430,I1,I1,22.0,1,35.94,50.0,14.06,252000.0,322862.4,70862.40000000002,252000.0,322862.4,70862.40000000002,161431.2,90568.8,161431.2,70.71,65.54,-5.18,64045.43048518954,105795.53532268174,41750.104837492196,240000.0,5.0,34.52600000000001,0,1,52,0.3594,132000,0.7071467269654621,0.5,0.6553599014483057,1,0,expected_profit,0.0,False,0.1406,-0.05178682551715641
Q-04530,N1,N1,75.0,2,23.35,50.0,26.65,550232.0,843505.656,293273.65599999996,1100464.0,1687011.312,586547.3119999999,843505.656,256958.344,843505.656,98.67,90.24,-8.43,253545.61497903804,761189.0817264973,507643.46674745926,830000.0,-33.70698795180723,1.6271874698795132,0,1,53,0.2335,375000,0.9867187460510644,0.5,0.9024113546981329,1,0,expected_profit,0.0,False,0.26649999999999996,-0.08430739135293142
Q-04562,N1,N1,75.0,1,29.88,60.0,30.12,504092.0,883673.2759999998,379581.27599999984,504092.0,883673.2759999998,379581.27599999984,353469.31039999996,150622.6896,530203.9655999999,99.97,99.0,-0.97,150584.8387214409,524918.5778848912,374333.7391634503,830000.0,-39.26602409638554,6.466659759036125,0,1,54,0.2988,375000,0.9997487040056207,0.6,0.9900314066698321,1,0,expected_profit,0.0,False,0.30119999999999997,-0.009717297335788522
Q-04582,S,S,110.0,1,41.34,40.0,-1.34,1750000.0,1710916.6666666667,-39083.333333333256,1750000.0,1710916.6666666667,-39083.333333333256,1026550.0,723450.0,684366.6666666667,90.92,83.15,-7.78,657769.2298597521,569024.1831168123,-88745.04674293986,1880000.0,-6.914893617021277,-8.993794326241131,0,1,55,0.4134,528000,0.9092117352405171,0.4,0.8314609855099296,0,1,expected_profit,0.0,False,-0.013399999999999967,-0.07775074973058749
Q-04608,H1,H1,37.0,2,42.72,60.0,17.28,325740.0,466459.68000000005,140719.68000000005,651480.0,932919.3600000001,281439.3600000001,373167.74400000006,278312.25599999994,559751.616,98.71,99.41,0.7,274730.72417113325,556465.5082938563,281734.78412272304,360000.0,-9.516666666666666,29.57213333333335,0,1,56,0.4271999999999999,222000,0.987131246462726,0.6,0.994129346638378,1,0,expected_profit,0.0,False,0.17280000000000006,0.0069981001756520556
Q-04712,N,Other,75.0,1,41.52,45.0,3.48,884330.0,940283.9709090908,55953.97090909083,884330.0,940283.9709090908,55953.97090909083,517156.184,367173.816,423127.7869090909,78.43,53.39,-25.03,287958.1449773979,225919.32889089824,-62038.81608649969,,,,0,1,57,0.4152,322500,0.7842556642911539,0.45,0.5339269503929721,0,0,expected_profit,0.0,False,0.0348,-0.2503287138981818
Q-04715,I1,I1,22.0,1,38.16,55.0,16.84,234000.0,321568.0000000001,87568.00000000012,234000.0,321568.0000000001,87568.00000000012,144705.60000000003,89294.39999999998,176862.40000000008,98.62,79.92,-18.7,88059.0471189723,141345.067636721,53286.02051774871,240000.0,-2.5,33.986666666666714,0,1,58,0.3815999999999999,132000,0.9861653935630041,0.55,0.7991809883656501,1,0,expected_profit,0.0,False,0.16840000000000016,-0.18698440519735404
Q-04716,N1,N1,75.0,1,46.48,55.0,8.52,769000.0,914597.3333333334,145597.33333333337,769000.0,914597.3333333334,145597.33333333337,411568.8,357431.2,503028.5333333334,86.02,96.82,10.8,307461.41633433226,487042.9764872451,179581.56015291286,830000.0,-7.349397590361447,10.192449799196792,0,1,59,0.4648,375000,0.8601974767013407,0.55,0.9682213715787462,1,0,expected_profit,0.0,False,0.08520000000000005,0.10802389487740549
Q-04802,N1,N1,75.0,1,37.92,50.0,12.08,756000.0,938649.6,182649.59999999998,756000.0,938649.6,182649.59999999998,469324.8,286675.2,469324.8,85.18,84.5,-0.68,244185.96970751692,396568.6974623992,152382.72775488227,830000.0,-8.91566265060241,13.090313253012045,0,1,60,0.3792,375000,0.8517861667403281,0.5,0.844977076562754,1,0,expected_profit,0.0,False,0.12080000000000002,-0.00680909017757414
Q-04883,H1,H1,37.0,1,42.16,55.0,12.84,352250.0,452758.6666666668,100508.6666666668,352250.0,452758.66666666674,100508.66666666674,203741.40000000002,148508.59999999998,249017.26666666672,95.48,99.31,3.83,141795.85621678157,247295.84179990055,105499.98558311898,360000.0,-2.1527777777777777,25.766296296296332,0,1,61,0.4216,222000,0.9547989558637116,0.55,0.9930871264880179,1,0,expected_profit,0.0,False,0.12840000000000007,0.03828817062430634
