quote_id,product,gross_margin_rate,unit_price,qty,subtotal_price,energy_grant_amount,grant_ratio_to_subtotal,competitor_count_available,avg_competitor_price,price_gap_avg_competitor_pct,estimated_gross_profit,conversion_risk_score,conversion_risk_level,profitability_risk_score,profitability_risk_level,quote_review_flag,conversion_review_reasons,profitability_review_reasons,review_explanation,success,gross_margin_rate_pct,grant_ratio_to_subtotal_pct
Q-01775,H1,0.4711,391300.0,2,782600.0,222000,0.2836698185535395,1,360000.0,8.69,368682.86,36.36,Medium,0.0,Low,Monitor: medium pricing risk,Price higher than average competitor; Low or no energy grant advantage,No major flag,price is 8.7% above average competitor; grant ratio is 28.4%.,0,47.11,28.37
Q-01922,H1,0.5455,570000.0,1,570000.0,222000,0.3894736842105263,1,360000.0,58.33,310935.0,68.18,High,0.0,Low,Review required: high conversion risk,High GMR; Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage,No major flag,price is 58.3% above average competitor; GMR is 54.5%; grant ratio is 38.9%.,1,54.55,38.95
Q-02039,N1,0.4209,669000.0,1,669000.0,375000,0.5605381165919282,2,830000.0,-19.4,281582.10000000003,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,42.09,56.05
Q-02113,N1,0.3393,718000.0,2,1436000.0,375000,0.261142061281337,2,830000.0,-13.49,487234.79999999993,13.64,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage,Price lower than average competitor,grant ratio is 26.1%.,1,33.93,26.11
Q-02113,N1,0.3393,718000.0,2,1436000.0,375000,0.261142061281337,2,830000.0,-13.49,487234.79999999993,13.64,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage,Price lower than average competitor,grant ratio is 26.1%.,1,33.93,26.11
Q-02125,H1,0.4425,346900.0,1,346900.0,222000,0.6399538771980398,1,360000.0,-3.64,153503.25,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,44.25,64.0
Q-02132,I1,0.6627,244500.0,2,489000.0,132000,0.2699386503067484,1,240000.0,1.88,324060.3,72.73,High,0.0,Low,Review required: high conversion risk,High GMR; Very high GMR; Price higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,No major flag,price is 1.9% above average competitor; GMR is 66.3%; grant ratio is 27.0%; product historical win rate is 22.9%.,1,66.27,26.99
Q-02428,O,0.4135,659000.0,1,659000.0,322500,0.4893778452200303,0,,,272496.5,9.09,Low,0.0,Low,No major pricing risk,No competitor information available,No major flag,no competitor price information is available.,1,41.35,48.94
Q-02428,S,0.4135,1141900.0,1,1141900.0,528000,0.4623872493213066,1,1880000.0,-39.26,472175.65,9.09,Low,9.09,Low,No major pricing risk,Product has historically low win rate,Price lower than average competitor,product historical win rate is 15.2%.,1,41.35,46.24
Q-02534,N1,0.4535,793000.0,2,1586000.0,375000,0.2364438839848676,2,830000.0,-4.46,719251.0,13.64,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage,Price lower than average competitor,grant ratio is 23.6%.,1,45.35,23.64
Q-02733,S,0.2164,1222400.0,3,3667200.0,528000,0.143979057591623,1,1880000.0,-34.98,793582.0800000001,22.73,Low,18.18,Low,No major pricing risk,Low or no energy grant advantage; Product has historically low win rate,Low GMR; Price lower than average competitor,grant ratio is 14.4%; product historical win rate is 15.2%.,0,21.64,14.4
Q-02784,T,0.0393,992000.0,1,992000.0,528000,0.532258064516129,1,1880000.0,-47.23,38985.59999999998,0.0,Low,36.36,Medium,Monitor: medium pricing risk,No major flag,Very low GMR; Low GMR; Price lower than average competitor,No major pricing risk detected.,1,3.93,53.23
Q-02916,K,0.2826,154000.0,1,154000.0,190920,1.2397402597402598,0,,,43520.4,18.18,Low,0.0,Low,No major pricing risk,Product has historically low win rate; No competitor information available,No major flag,product historical win rate is 23.5%; no competitor price information is available.,1,28.26,123.97
Q-02941,I1,0.3364999999999999,236333.0,1,236333.0,132000,0.5585339330520918,1,240000.0,-1.53,79526.0545,9.09,Low,9.09,Low,No major pricing risk,Product has historically low win rate,Price lower than average competitor,product historical win rate is 22.9%.,1,33.65,55.85
Q-03099,W,0.5484,250000.0,1,250000.0,66000,0.264,0,,,137100.0,45.45,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,No major flag,GMR is 54.8%; grant ratio is 26.4%; product historical win rate is 13.8%; no competitor price information is available.,1,54.84,26.4
Q-03110,N1,0.3922,718000.0,1,718000.0,375000,0.5222841225626741,2,830000.0,-13.49,281599.6,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,39.22,52.23
Q-03273,I1,0.5156000000000001,273762.0,2,547524.0,132000,0.2410853222872422,1,240000.0,14.07,282303.37440000003,59.09,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Price higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,No major flag,price is 14.1% above average competitor; GMR is 51.6%; grant ratio is 24.1%; product historical win rate is 22.9%.,1,51.56,24.11
Q-03387,H1,0.6193,530000.0,2,1060000.0,222000,0.2094339622641509,1,360000.0,47.22,656458.0,81.82,High,0.0,Low,Review required: high conversion risk,High GMR; Very high GMR; Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage,No major flag,price is 47.2% above average competitor; GMR is 61.9%; grant ratio is 20.9%.,1,61.93,20.94
Q-03409,N1,0.6487,1283500.0,1,1283500.0,375000,0.292169848071679,2,830000.0,54.64,832606.4500000001,81.82,High,0.0,Low,Review required: high conversion risk,High GMR; Very high GMR; Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage,No major flag,price is 54.6% above average competitor; GMR is 64.9%; grant ratio is 29.2%.,0,64.87,29.22
Q-03409,N1,0.6487,1283500.0,1,1283500.0,375000,0.292169848071679,2,830000.0,54.64,832606.4500000001,81.82,High,0.0,Low,Review required: high conversion risk,High GMR; Very high GMR; Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage,No major flag,price is 54.6% above average competitor; GMR is 64.9%; grant ratio is 29.2%.,0,64.87,29.22
Q-03418,O1,0.2054,574900.0,2,1149800.0,375000,0.3261436771612454,2,830000.0,-30.73,236168.92000000004,13.64,Low,18.18,Low,No major pricing risk,Low or no energy grant advantage,Low GMR; Price lower than average competitor,grant ratio is 32.6%.,1,20.54,32.61
Q-03437,A1,0.37,275000.0,1,275000.0,90000,0.3272727272727272,1,170000.0,61.76,101750.0,63.64,High,0.0,Low,Review required: high conversion risk,Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,No major flag,price is 61.8% above average competitor; grant ratio is 32.7%; product historical win rate is 19.0%.,1,37.0,32.73
Q-03440,I1,0.37,260000.0,1,260000.0,132000,0.5076923076923077,1,240000.0,8.33,96200.0,31.82,Medium,0.0,Low,Monitor: medium pricing risk,Price higher than average competitor; Product has historically low win rate,No major flag,price is 8.3% above average competitor; product historical win rate is 22.9%.,1,37.0,50.77
Q-03578,N1,0.5173,607600.0,2,1215200.0,375000,0.3085911784068466,2,830000.0,-26.8,628622.96,27.27,Low,9.09,Low,No major pricing risk,High GMR; Low or no energy grant advantage,Price lower than average competitor,GMR is 51.7%; grant ratio is 30.9%.,1,51.73,30.86
Q-03581,H1,0.6917,359000.0,1,359000.0,222000,0.6183844011142061,1,360000.0,-0.28,248320.3,27.27,Low,9.09,Low,No major pricing risk,High GMR; Very high GMR,Price lower than average competitor,GMR is 69.2%.,1,69.17,61.84
Q-03626,H1,0.6524,352000.0,2,704000.0,222000,0.3153409090909091,1,360000.0,-2.22,459289.6,40.91,Medium,9.09,Low,Monitor: medium pricing risk,High GMR; Very high GMR; Low or no energy grant advantage,Price lower than average competitor,GMR is 65.2%; grant ratio is 31.5%.,1,65.24,31.53
Q-03631,H1,0.3954,360000.0,1,360000.0,222000,0.6166666666666667,1,360000.0,0.0,142344.0,0.0,Low,0.0,Low,No major pricing risk,No major flag,No major flag,No major pricing risk detected.,1,39.54,61.67
Q-03631,N1,0.3954,649000.0,1,649000.0,375000,0.5778120184899846,2,830000.0,-21.81,256614.6,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,39.54,57.78
Q-03731,H1,0.4531,360000.0,1,360000.0,222000,0.6166666666666667,1,360000.0,0.0,163116.00000000003,0.0,Low,0.0,Low,No major pricing risk,No major flag,No major flag,No major pricing risk detected.,1,45.31,61.67
Q-04030,N1,0.4004,585700.0,1,585700.0,375000,0.6402595185248421,2,830000.0,-29.43,234514.28,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,40.04,64.03
Q-04053,A1,0.3326,301000.0,1,301000.0,90000,0.2990033222591362,1,170000.0,77.06,100112.6,63.64,High,0.0,Low,Review required: high conversion risk,Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,No major flag,price is 77.1% above average competitor; grant ratio is 29.9%; product historical win rate is 19.0%.,1,33.26,29.9
Q-04090,W,0.094,160000.0,1,160000.0,66000,0.4125,0,,,15040.0,18.18,Low,27.27,Low,No major pricing risk,Product has historically low win rate; No competitor information available,Very low GMR; Low GMR,product historical win rate is 13.8%; no competitor price information is available.,1,9.4,41.25
Q-04111,H1,0.6193,530000.0,2,1060000.0,222000,0.2094339622641509,1,360000.0,47.22,656458.0,81.82,High,0.0,Low,Review required: high conversion risk,High GMR; Very high GMR; Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage,No major flag,price is 47.2% above average competitor; GMR is 61.9%; grant ratio is 20.9%.,1,61.93,20.94
Q-04158,N1,0.3271,675780.0,2,1351560.0,375000,0.2774571606144011,2,830000.0,-18.58,442095.276,13.64,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage,Price lower than average competitor,grant ratio is 27.7%.,1,32.71,27.75
Q-04281,O1,0.3636999999999999,720104.0,1,720104.0,375000,0.520758112717052,2,830000.0,-13.24,261901.82479999997,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,36.37,52.08
Q-04365,N1,0.4164,708524.0,2,1417048.0,375000,0.2646346489321463,2,830000.0,-14.64,590058.7872,13.64,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage,Price lower than average competitor,grant ratio is 26.5%.,1,41.64,26.46
Q-04430,I1,0.3594,252000.0,1,252000.0,132000,0.5238095238095238,1,240000.0,5.0,90568.8,31.82,Medium,0.0,Low,Monitor: medium pricing risk,Price higher than average competitor; Product has historically low win rate,No major flag,price is 5.0% above average competitor; product historical win rate is 22.9%.,1,35.94,52.38
Q-04530,N1,0.2335,550232.0,2,1100464.0,375000,0.3407653498887742,2,830000.0,-33.71,256958.34400000004,13.64,Low,18.18,Low,No major pricing risk,Low or no energy grant advantage,Low GMR; Price lower than average competitor,grant ratio is 34.1%.,1,23.35,34.08
Q-04562,N1,0.2988,504092.0,1,504092.0,375000,0.743911825619133,2,830000.0,-39.27,150622.68959999998,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,29.88,74.39
Q-04582,S,0.4134,1750000.0,1,1750000.0,528000,0.3017142857142857,1,1880000.0,-6.91,723450.0,22.73,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage; Product has historically low win rate,Price lower than average competitor,grant ratio is 30.2%; product historical win rate is 15.2%.,1,41.34,30.17
Q-04608,H1,0.4271999999999999,325740.0,2,651480.0,222000,0.340762571375944,1,360000.0,-9.52,278312.256,13.64,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage,Price lower than average competitor,grant ratio is 34.1%.,1,42.72,34.08
Q-04712,N,0.4152,884330.0,1,884330.0,322500,0.3646828672554363,0,,,367173.816,22.73,Low,0.0,Low,No major pricing risk,Low or no energy grant advantage; No competitor information available,No major flag,grant ratio is 36.5%; no competitor price information is available.,1,41.52,36.47
Q-04715,I1,0.3815999999999999,234000.0,1,234000.0,132000,0.5641025641025641,1,240000.0,-2.5,89294.4,9.09,Low,9.09,Low,No major pricing risk,Product has historically low win rate,Price lower than average competitor,product historical win rate is 22.9%.,1,38.16,56.41
Q-04716,N1,0.4648,769000.0,1,769000.0,375000,0.4876462938881664,2,830000.0,-7.35,357431.2,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,46.48,48.76
Q-04802,N1,0.3792,756000.0,1,756000.0,375000,0.496031746031746,2,830000.0,-8.92,286675.2,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,37.92,49.6
Q-04883,H1,0.4216,352250.0,1,352250.0,222000,0.6302342086586231,1,360000.0,-2.15,148508.59999999998,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,42.16,63.02
Q-04914,W,0.4947,206400.0,1,206400.0,66000,0.3197674418604651,0,,,102106.08,45.45,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,No major flag,GMR is 49.5%; grant ratio is 32.0%; product historical win rate is 13.8%; no competitor price information is available.,1,49.47,31.98
Q-04925,N1,0.3198,760000.0,1,760000.0,375000,0.4934210526315789,2,830000.0,-8.43,243048.0000000001,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,31.98,49.34
Q-04962,O,0.6940000000000001,947000.0,1,947000.0,322500,0.3405491024287223,0,,,657218.0,50.0,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Very high GMR; Low or no energy grant advantage; No competitor information available,No major flag,GMR is 69.4%; grant ratio is 34.1%; no competitor price information is available.,1,69.4,34.05
Q-04976,W,0.1407,172000.0,1,172000.0,66000,0.3837209302325581,0,,,24200.399999999998,31.82,Medium,9.09,Low,Monitor: medium pricing risk,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,Low GMR,grant ratio is 38.4%; product historical win rate is 13.8%; no competitor price information is available.,1,14.07,38.37
Q-05083,A1,0.3619,240000.0,1,240000.0,90000,0.375,1,170000.0,41.18,86856.0,63.64,High,0.0,Low,Review required: high conversion risk,Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,No major flag,price is 41.2% above average competitor; grant ratio is 37.5%; product historical win rate is 19.0%.,1,36.19,37.5
Q-05292,I1,0.3561999999999999,262000.0,1,262000.0,132000,0.5038167938931297,1,240000.0,9.17,93324.4,31.82,Medium,0.0,Low,Monitor: medium pricing risk,Price higher than average competitor; Product has historically low win rate,No major flag,price is 9.2% above average competitor; product historical win rate is 22.9%.,1,35.62,50.38
Q-05361,N1,0.5954999999999999,749000.0,1,749000.0,375000,0.5006675567423231,2,830000.0,-9.76,446029.5,13.64,Low,9.09,Low,No major pricing risk,High GMR,Price lower than average competitor,GMR is 59.5%.,1,59.55,50.07
Q-05382,N1,0.3538,735500.0,2,1471000.0,375000,0.2549286199864038,2,830000.0,-11.39,520439.8000000001,13.64,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage,Price lower than average competitor,grant ratio is 25.5%.,1,35.38,25.49
Q-05501,S,0.4086,1723600.0,1,1723600.0,528000,0.3063355766999304,1,1880000.0,-8.32,704262.9600000001,22.73,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage; Product has historically low win rate,Price lower than average competitor,grant ratio is 30.6%; product historical win rate is 15.2%.,1,40.86,30.63
Q-05535,I1,0.6770999999999999,405000.0,2,810000.0,132000,0.1629629629629629,1,240000.0,68.75,548451.0,90.91,High,0.0,Low,Review required: high conversion risk,High GMR; Very high GMR; Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,No major flag,price is 68.8% above average competitor; GMR is 67.7%; grant ratio is 16.3%; product historical win rate is 22.9%.,1,67.71,16.3
Q-05576,M,0.5687,1252700.0,1,1252700.0,322500,0.2574439211303584,0,,,712410.49,45.45,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,No major flag,GMR is 56.9%; grant ratio is 25.7%; product historical win rate is 22.2%; no competitor price information is available.,0,56.87,25.74
Q-05577,E,0.5986,408100.0,1,408100.0,48600,0.1190884587111002,0,,,244288.66,45.45,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,No major flag,GMR is 59.9%; grant ratio is 11.9%; product historical win rate is 20.0%; no competitor price information is available.,0,59.86,11.91
Q-05577,E,0.5986,408100.0,1,408100.0,48600,0.1190884587111002,0,,,244288.66,45.45,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,No major flag,GMR is 59.9%; grant ratio is 11.9%; product historical win rate is 20.0%; no competitor price information is available.,0,59.86,11.91
Q-05585,W,0.4982999999999999,290000.0,1,290000.0,66000,0.2275862068965517,0,,,144507.0,45.45,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,No major flag,GMR is 49.8%; grant ratio is 22.8%; product historical win rate is 13.8%; no competitor price information is available.,0,49.83,22.76
Q-05635,B,0.5826,131560.0,1,131560.0,56760,0.431438127090301,0,,,76646.856,22.73,Low,0.0,Low,No major pricing risk,High GMR; No competitor information available,No major flag,GMR is 58.3%; no competitor price information is available.,0,58.26,43.14
Q-05651,H1,0.3965999999999999,334368.0,1,334368.0,222000,0.663939132931381,1,360000.0,-7.12,132610.34879999998,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,39.66,66.39
Q-05652,A1,0.6039,405000.0,1,405000.0,90000,0.2222222222222222,1,170000.0,138.24,244579.5,77.27,High,0.0,Low,Review required: high conversion risk,High GMR; Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,No major flag,price is 138.2% above average competitor; GMR is 60.4%; grant ratio is 22.2%; product historical win rate is 19.0%.,0,60.39,22.22
Q-05655,W,0.1721,180000.0,1,180000.0,66000,0.3666666666666666,0,,,30978.0,31.82,Medium,9.09,Low,Monitor: medium pricing risk,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,Low GMR,grant ratio is 36.7%; product historical win rate is 13.8%; no competitor price information is available.,1,17.21,36.67
Q-05666,I1,0.6551,468000.0,1,468000.0,132000,0.282051282051282,1,240000.0,95.0,306586.80000000005,90.91,High,0.0,Low,Review required: high conversion risk,High GMR; Very high GMR; Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,No major flag,price is 95.0% above average competitor; GMR is 65.5%; grant ratio is 28.2%; product historical win rate is 22.9%.,0,65.51,28.21
Q-05674,W,0.1407,173420.0,1,173420.0,66000,0.3805789412985815,0,,,24400.194000000018,31.82,Medium,9.09,Low,Monitor: medium pricing risk,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,Low GMR,grant ratio is 38.1%; product historical win rate is 13.8%; no competitor price information is available.,0,14.07,38.06
Q-05703,W,0.1441,170000.0,1,170000.0,66000,0.388235294117647,0,,,24497.0,31.82,Medium,9.09,Low,Monitor: medium pricing risk,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,Low GMR,grant ratio is 38.8%; product historical win rate is 13.8%; no competitor price information is available.,1,14.41,38.82
Q-05706,Q,-0.0254,145340.0,1,145340.0,45000,0.3096188248245493,1,130000.0,11.8,-3691.635999999999,45.45,Medium,90.91,High,Review required: high profitability risk,Price higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,Negative GMR; Negative estimated gross profit; Very low GMR; Low GMR,price is 11.8% above average competitor; grant ratio is 31.0%; product historical win rate is 10.3%; GMR is negative; estimated gross profit is negative.,1,-2.54,30.96
Q-05707,H1,0.5643,422000.0,1,422000.0,222000,0.5260663507109005,1,360000.0,17.22,238134.6,36.36,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Price higher than average competitor,No major flag,price is 17.2% above average competitor; GMR is 56.4%.,1,56.43,52.61
Q-05711,W,0.4982999999999999,290000.0,1,290000.0,66000,0.2275862068965517,0,,,144507.0,45.45,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,No major flag,GMR is 49.8%; grant ratio is 22.8%; product historical win rate is 13.8%; no competitor price information is available.,0,49.83,22.76
Q-05734,H1,0.4477,366120.0,1,366120.0,222000,0.6063585709603408,1,360000.0,1.7,163911.924,22.73,Low,0.0,Low,No major pricing risk,Price higher than average competitor,No major flag,price is 1.7% above average competitor.,0,44.77,60.64
Q-05740,Q,0.0173,146900.0,1,146900.0,45000,0.3063308373042886,1,130000.0,13.0,2541.369999999996,45.45,Medium,27.27,Low,Monitor: medium pricing risk,Price higher than average competitor; Low or no energy grant advantage; Product has historically low win rate,Very low GMR; Low GMR,price is 13.0% above average competitor; grant ratio is 30.6%; product historical win rate is 10.3%.,0,1.73,30.63
Q-05753,W,0.4861,290000.0,1,290000.0,66000,0.2275862068965517,0,,,140969.0,45.45,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,No major flag,GMR is 48.6%; grant ratio is 22.8%; product historical win rate is 13.8%; no competitor price information is available.,0,48.61,22.76
Q-05772,H1,0.4585,372600.0,1,372600.0,222000,0.5958132045088567,1,360000.0,3.5,170837.1,22.73,Low,0.0,Low,No major pricing risk,Price higher than average competitor,No major flag,price is 3.5% above average competitor.,0,45.85,59.58
Q-05773,H1,0.4585,372600.0,1,372600.0,222000,0.5958132045088567,1,360000.0,3.5,170837.1,22.73,Low,0.0,Low,No major pricing risk,Price higher than average competitor,No major flag,price is 3.5% above average competitor.,0,45.85,59.58
Q-05776,H1,0.4871,393336.0,1,393336.0,222000,0.5644029532003173,1,360000.0,9.26,191593.96560000005,36.36,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Price higher than average competitor,No major flag,price is 9.3% above average competitor; GMR is 48.7%.,0,48.71,56.44
Q-05782,I1,0.3903999999999999,264420.0,1,264420.0,132000,0.4992058089403222,1,240000.0,10.18,103229.568,31.82,Medium,0.0,Low,Monitor: medium pricing risk,Price higher than average competitor; Product has historically low win rate,No major flag,price is 10.2% above average competitor; product historical win rate is 22.9%.,0,39.04,49.92
Q-05809,H1,0.3965999999999999,334368.0,1,334368.0,222000,0.663939132931381,1,360000.0,-7.12,132610.34879999998,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,39.66,66.39
